m	up	down
MC=2.5		
NITI=1		
COH=1		
0.0000	9.90E-01	9.90E-01
0.0108	9.90E-01	9.90E-01
0.0216	9.90E-01	9.90E-01
0.0324	9.90E-01	9.90E-01
0.0431	9.90E-01	9.90E-01
0.0539	9.90E-01	9.90E-01
0.0647	9.90E-01	9.90E-01
0.0755	9.90E-01	9.90E-01
0.0863	9.90E-01	9.90E-01
0.0971	9.90E-01	9.90E-01
0.1078	9.90E-01	9.90E-01
0.1186	9.90E-01	9.90E-01
0.1294	9.90E-01	9.90E-01
0.1402	9.90E-01	9.90E-01
0.1510	9.90E-01	9.90E-01
0.1618	9.90E-01	9.90E-01
0.1725	9.90E-01	9.90E-01
0.1833	9.90E-01	9.90E-01
0.1941	9.90E-01	9.90E-01
0.2049	9.90E-01	9.90E-01
0.2157	9.90E-01	9.90E-01
0.2265	9.90E-01	9.90E-01
0.2373	9.90E-01	9.90E-01
0.2480	9.90E-01	9.90E-01
0.2588	9.90E-01	9.90E-01
0.2696	9.90E-01	9.90E-01
0.2804	9.90E-01	9.90E-01
0.2912	9.90E-01	9.90E-01
0.3020	9.90E-01	9.90E-01
0.3127	9.90E-01	9.90E-01
0.3235	9.90E-01	9.90E-01
0.3343	9.90E-01	9.90E-01
0.3451	9.90E-01	9.90E-01
0.3559	9.90E-01	9.90E-01
0.3667	9.90E-01	9.90E-01
0.3775	9.90E-01	9.90E-01
0.3882	9.90E-01	9.90E-01
0.3990	9.90E-01	9.90E-01
0.4098	9.90E-01	9.90E-01
0.4206	9.90E-01	9.90E-01
0.4314	9.90E-01	9.90E-01
0.4422	9.90E-01	9.90E-01
0.4529	9.90E-01	9.90E-01
0.4637	9.90E-01	9.90E-01
0.4745	9.90E-01	9.90E-01
0.4853	9.90E-01	9.90E-01
0.4961	9.90E-01	9.90E-01
0.5069	9.90E-01	9.90E-01
0.5176	9.90E-01	9.90E-01
0.5284	9.90E-01	9.90E-01
0.5392	9.90E-01	9.90E-01
0.5500	9.90E-01	9.90E-01
0.5608	9.90E-01	9.90E-01
0.5716	9.90E-01	9.90E-01
0.5824	9.90E-01	9.90E-01
0.5931	9.90E-01	9.90E-01
0.6039	9.90E-01	9.90E-01
0.6147	9.90E-01	9.90E-01
0.6255	9.90E-01	9.90E-01
0.6363	9.90E-01	9.90E-01
0.6471	9.90E-01	9.90E-01
0.6578	9.90E-01	9.90E-01
0.6686	9.90E-01	9.90E-01
0.6794	9.90E-01	9.90E-01
0.6902	9.90E-01	9.90E-01
0.7010	9.90E-01	9.90E-01
0.7118	9.90E-01	9.90E-01
0.7225	9.90E-01	9.90E-01
0.7333	9.90E-01	9.90E-01
0.7441	9.90E-01	9.90E-01
0.7549	9.90E-01	9.90E-01
0.7657	9.90E-01	9.90E-01
0.7765	9.90E-01	9.90E-01
0.7873	9.90E-01	9.90E-01
0.7980	9.90E-01	9.90E-01
0.8088	9.90E-01	9.90E-01
0.8196	9.90E-01	9.90E-01
0.8304	9.90E-01	9.90E-01
0.8412	9.90E-01	9.90E-01
0.8520	9.90E-01	9.90E-01
0.8627	9.90E-01	9.90E-01
0.8735	9.90E-01	9.90E-01
0.8843	9.90E-01	9.90E-01
0.8951	9.90E-01	9.90E-01
0.9059	9.90E-01	9.90E-01
0.9167	9.90E-01	9.90E-01
0.9275	9.90E-01	9.90E-01
0.9382	9.90E-01	9.90E-01
0.9490	9.90E-01	9.90E-01
0.9598	9.90E-01	9.90E-01
0.9706	9.90E-01	9.90E-01
0.9814	9.90E-01	9.90E-01
0.9922	9.90E-01	9.90E-01
1.0029	9.90E-01	9.90E-01
1.0137	9.89E-01	9.89E-01
1.0245	9.89E-01	9.89E-01
1.0353	9.88E-01	9.88E-01
1.0461	9.88E-01	9.88E-01
1.0569	9.87E-01	9.87E-01
1.0676	9.86E-01	9.86E-01
1.0784	9.86E-01	9.86E-01
1.0892	9.85E-01	9.85E-01
1.1000	9.85E-01	9.85E-01
1.1108	9.84E-01	9.84E-01
1.1216	9.84E-01	9.84E-01
1.1324	9.83E-01	9.83E-01
