LAMBDA dPhi/dLAMBDA  LOGSCALE=no
0.1571 0.002083
0.1688 0.01911
0.1805  0.1106
0.1922  0.4513
0.2039   1.407
0.2156   3.555
0.2273   7.604
 0.239   14.23
0.2507    23.9
0.2624   36.76
0.2741   52.57
0.2858    70.8
0.2975   90.68
0.3092   111.3
0.3209   131.9
0.3326   151.7
0.3443     170
 0.356   186.3
0.3678   200.3
0.3795     212
0.3912   221.2
0.4029     228
0.4146   232.5
0.4263   234.9
 0.438   235.5
0.4497   234.3
0.4614   231.8
0.4731   228.1
0.4848   223.3
0.4965   217.8
0.5082   211.6
0.5199   204.9
0.5316   197.9
0.5433   190.6
 0.555   183.3
0.5667   175.8
0.5784   168.4
0.5901   161.1
0.6018   153.9
0.6135   146.9
0.6252     140
0.6369   133.4
0.6486     127
0.6604   120.8
0.6721   114.9
0.6838   109.2
0.6955   103.8
0.7072   98.62
0.7189   93.68
0.7306   88.97
0.7423   84.49
 0.754   80.23
0.7657   76.19
0.7774   72.36
0.7891   68.72
0.8008   65.27
0.8125      62
0.8242    58.9
0.8359   55.97
0.8476   53.19
0.8593   50.56
 0.871   48.08
0.8827   45.72
0.8944   43.49
0.9061   41.38
0.9178   39.38
0.9295   37.48
0.9412   35.69
0.9529      34
0.9647   32.39
0.9764   30.87
0.9881   29.42
0.9998   28.06
 1.011   26.76
 1.023   25.53
 1.035   24.37
 1.047   23.27
 1.058   22.22
  1.07   21.22
 1.082   20.28
 1.093   19.38
 1.105   18.53
 1.117   17.73
 1.129   16.96
  1.14   16.23
 1.152   15.54
 1.164   14.88
 1.175   14.25
 1.187   13.65
 1.199   13.08
  1.21   12.54
 1.222   12.03
 1.234   11.54
 1.246   11.07
 1.257   10.62
 1.269    10.2
 1.281   9.793
 1.292   9.406
 1.304   9.038
 1.316   8.686
 1.327   8.349
 1.339   8.028
 1.351   7.722
 1.363   7.429
 1.374   7.149
 1.386   6.881
 1.398   6.625
 1.409    6.38
 1.421   6.146
 1.433   5.921
 1.445   5.706
 1.456   5.501
 1.468   5.304
  1.48   5.115
 1.491   4.934
 1.503   4.761
 1.515   4.594
 1.526   4.435
 1.538   4.282
  1.55   4.135
 1.562   3.994
 1.573   3.859
 1.585   3.729
 1.597   3.604
 1.608   3.485
  1.62   3.369
 1.632   3.259
 1.643   3.152
 1.655    3.05
 1.667   2.952
 1.679   2.857
  1.69   2.766
 1.702   2.678
 1.714   2.594
 1.725   2.512
 1.737   2.434
 1.749   2.359
 1.761   2.286
 1.772   2.216
 1.784   2.148
 1.796   2.083
 1.807   2.021
 1.819    1.96
 1.831   1.902
 1.842   1.845
 1.854   1.791
 1.866   1.738
 1.878   1.688
 1.889   1.639
 1.901   1.592
 1.913   1.546
 1.924   1.502
 1.936   1.459
 1.948   1.418
 1.959   1.378
 1.971    1.34
 1.983   1.303
 1.995   1.267
 2.006   1.232
 2.018   1.198
  2.03   1.166
 2.041   1.134
 2.053   1.104
 2.065   1.074
 2.077   1.045
 2.088   1.018
   2.1  0.9908
 2.112  0.9648
 2.123  0.9396
 2.135  0.9152
 2.147  0.8915
 2.158  0.8686
  2.17  0.8463
 2.182  0.8248
 2.194  0.8038
 2.205  0.7836
 2.217  0.7639
 2.229  0.7448
  2.24  0.7263
 2.252  0.7083
 2.264  0.6908
 2.275  0.6739
 2.287  0.6574
 2.299  0.6414
 2.311  0.6259
 2.322  0.6109
 2.334  0.5962
 2.346   0.582
 2.357  0.5682
 2.369  0.5548
 2.381  0.5417
 2.393   0.529
 2.404  0.5167
 2.416  0.5047
 2.428   0.493
 2.439  0.4817
 2.451  0.4706
 2.463  0.4599
 2.474  0.4495
 2.486  0.4393
 2.498  0.4294
  2.51  0.4198
 2.521  0.4104
 2.533  0.4013
 2.545  0.3924
 2.556  0.3838
 2.568  0.3754
  2.58  0.3672
 2.592  0.3592
 2.603  0.3514
 2.615  0.3438
 2.627  0.3364
 2.638  0.3292
  2.65  0.3222
 2.662  0.3154
 2.673  0.3087
 2.685  0.3022
 2.697  0.2959
 2.709  0.2897
  2.72  0.2837
 2.732  0.2778
 2.744  0.2721
 2.755  0.2665
 2.767  0.2611
 2.779  0.2557
  2.79  0.2506
 2.802  0.2455
 2.814  0.2406
 2.826  0.2357
 2.837   0.231
 2.849  0.2264
 2.861  0.2219
 2.872  0.2176
 2.884  0.2133
 2.896  0.2091
 2.908   0.205
 2.919   0.201
 2.931  0.1971
 2.943  0.1933
 2.954  0.1896
 2.966   0.186
 2.978  0.1824
 2.989   0.179
 3.001  0.1756
 3.013  0.1723
 3.025   0.169
 3.036  0.1659
 3.048  0.1628
  3.06  0.1597
 3.071  0.1568
 3.083  0.1539
 3.095   0.151
 3.106  0.1483
 3.118  0.1456
  3.13  0.1429
 3.142  0.1403
	
