# $Id: atoms.lib,v 1.1 2013/04/26 08:45:38 saroun Exp $
# table with neutron scattering data for elements
# columns:  Z	element	mass	Coh b 	Inc xs 	Abs xs
# units:	-	-	u	fm	b	b/A
1	H 	1.01	-3.7409	80.2600	0.1848
2	He 	4.00	3.2600	0.0000	0.0042
3	Li 	6.94	-1.9000	0.9200	39.1667
4	Be 	9.01	7.7900	0.0018	0.0042
5	B 	10.81	5.3000	1.7000	426.1111
6	C 	12.01	6.6484	0.0010	0.0019
7	N 	14.01	9.3600	0.5000	1.0556
8	O 	16.00	5.8030	0.0008	0.0001
9	F 	19.00	5.6540	0.0008	0.0053
10	Ne 	20.18	4.5660	0.0080	0.0217
11	Na 	22.99	3.6300	1.6200	0.2944
12	Mg 	24.31	5.3750	0.0800	0.0350
13	Al 	26.98	3.4490	0.0082	0.1283
14	Si 	28.09	4.1507	0.0040	0.0950
15	P 	30.97	5.1300	0.0050	0.0956
16	S 	32.07	2.8470	0.0070	0.2944
17	Cl 	35.45	9.5770	5.3000	18.6111
18	Ar 	39.95	1.9090	0.2250	0.3750
19	K 	39.10	3.6700	0.2700	1.1667
20	Ca 	40.08	4.7000	0.0500	0.2389
21	Sc 	44.96	12.2900	4.5000	15.2778
22	Ti 	47.87	-3.3700	2.8700	3.3833
23	V 	50.94	-0.4430	5.0800	2.8222
24	Cr 	52.00	3.6350	1.8300	1.6944
25	Mn 	54.94	-3.7500	0.4000	7.3889
26	Fe 	55.84	9.4500	0.4000	1.4222
27	Co 	58.93	2.4900	4.8000	20.6556
28	Ni 	58.69	10.3000	5.2000	2.4944
29	Cu 	63.55	7.7180	0.5500	2.1000
30	Zn 	65.39	5.6800	0.0770	0.6167
31	Ga 	69.72	7.2880	0.1600	1.5278
32	Ge 	72.61	8.1850	0.1800	1.2222
33	As 	74.92	6.5800	0.0600	2.5000
34	Se 	78.96	7.9700	0.3200	6.5000
35	Br 	79.90	6.7950	0.1000	3.8333
36	Kr 	83.80	7.8100	0.0100	13.8889
37	Rb 	85.47	7.0900	0.5000	0.2111
38	Sr 	87.62	7.0200	0.0600	0.7111
39	Y 	88.91	7.7500	0.1500	0.7111
40	Zr 	91.22	7.1600	0.0200	0.1028
41	Nb 	92.91	7.0540	0.0024	0.6389
42	Mo 	95.94	6.7150	0.0400	1.3778
43	Tc 	99.00	6.8000	0.5000	11.1111
44	Ru 	101.07	7.0300	0.4000	1.4222
45	Rh 	102.91	5.8800	0.3000	80.4444
46	Pd 	106.42	5.9100	0.0930	3.8333
47	Ag 	107.87	5.9220	0.5800	35.1667
48	Cd 	112.41	4.8700	3.4600	1400.0000
49	In 	114.82	4.0650	0.5400	107.6667
50	Sn 	118.71	6.2250	0.0220	0.3478
51	Sb 	121.76	5.5700	0.0070	2.7278
52	Te 	127.60	5.8000	0.0900	2.6111
53	I 	126.90	5.2800	0.3100	3.4167
54	Xe 	131.29	4.9200	0.0000	13.2778
55	Cs 	132.91	5.4200	0.2100	16.1111
56	Ba 	137.33	5.0700	0.1500	0.6111
57	La 	138.91	8.2400	1.1300	4.9833
58	Ce 	140.12	4.8400	0.0010	0.3500
59	Pr 	140.91	4.5800	0.0150	6.3889
60	Nd 	144.24	7.6900	9.2000	28.0556
61	Pm 	145.00	12.6000	1.3000	93.5556
62	Sm 	150.36	0.8000	39.0000	3290.0000
63	Eu 	151.96	7.2200	2.5000	2516.6667
64	Gd 	157.25	6.5000	151.0000	27611.1111
65	Tb 	158.93	7.3800	0.0040	13.0000
66	Dy 	162.50	16.9000	54.4000	552.2222
67	Ho 	164.93	8.0100	0.3600	35.9444
68	Er 	167.26	7.7900	1.1000	88.3333
69	Tm 	168.93	7.0700	0.1000	55.5556
70	Yb 	173.04	12.4300	4.0000	19.3333
71	Lu 	174.97	7.2100	0.7000	41.1111
72	Hf 	178.49	7.7000	2.6000	57.8333
73	Ta 	180.95	6.9100	0.0100	11.4444
74	W 	183.84	4.8600	1.6300	10.1667
75	Re 	186.21	9.2000	0.9000	49.8333
76	Os 	190.23	10.7000	0.3000	8.8889
77	Ir 	192.22	10.6000	0.0000	236.1111
78	Pt 	195.08	9.6000	0.1300	5.7222
79	Au 	196.97	7.6300	0.4300	54.8056
80	Hg 	200.59	12.6920	6.6000	206.8333
81	Tl 	204.38	8.7760	0.2100	1.9056
82	Pb 	207.20	9.4050	0.0030	0.0950
83	Bi 	208.98	8.5320	0.0084	0.0188
