m	up	down
MC=1.5		
NITI=1		
COH=0		
0.0000	9.90E-01	9.90E-01
0.0065	9.90E-01	9.90E-01
0.0129	9.90E-01	9.90E-01
0.0194	9.90E-01	9.90E-01
0.0259	9.90E-01	9.90E-01
0.0324	9.90E-01	9.90E-01
0.0388	9.90E-01	9.90E-01
0.0453	9.90E-01	9.90E-01
0.0518	9.90E-01	9.90E-01
0.0582	9.90E-01	9.90E-01
0.0647	9.90E-01	9.90E-01
0.0712	9.90E-01	9.90E-01
0.0776	9.90E-01	9.90E-01
0.0841	9.90E-01	9.90E-01
0.0906	9.90E-01	9.90E-01
0.0971	9.90E-01	9.90E-01
0.1035	9.90E-01	9.90E-01
0.1100	9.90E-01	9.90E-01
0.1165	9.90E-01	9.90E-01
0.1229	9.90E-01	9.90E-01
0.1294	9.90E-01	9.90E-01
0.1359	9.90E-01	9.90E-01
0.1424	9.90E-01	9.90E-01
0.1488	9.90E-01	9.90E-01
0.1553	9.90E-01	9.90E-01
0.1618	9.90E-01	9.90E-01
0.1682	9.90E-01	9.90E-01
0.1747	9.90E-01	9.90E-01
0.1812	9.90E-01	9.90E-01
0.1876	9.90E-01	9.90E-01
0.1941	9.90E-01	9.90E-01
0.2006	9.90E-01	9.90E-01
0.2071	9.90E-01	9.90E-01
0.2135	9.90E-01	9.90E-01
0.2200	9.90E-01	9.90E-01
0.2265	9.90E-01	9.90E-01
0.2329	9.90E-01	9.90E-01
0.2394	9.90E-01	9.90E-01
0.2459	9.90E-01	9.90E-01
0.2524	9.90E-01	9.90E-01
0.2588	9.90E-01	9.90E-01
0.2653	9.90E-01	9.90E-01
0.2718	9.90E-01	9.90E-01
0.2782	9.90E-01	9.90E-01
0.2847	9.90E-01	9.90E-01
0.2912	9.90E-01	9.90E-01
0.2976	9.90E-01	9.90E-01
0.3041	9.90E-01	9.90E-01
0.3106	9.90E-01	9.90E-01
0.3171	9.90E-01	9.90E-01
0.3235	9.90E-01	9.90E-01
0.3300	9.90E-01	9.90E-01
0.3365	9.90E-01	9.90E-01
0.3429	9.90E-01	9.90E-01
0.3494	9.90E-01	9.90E-01
0.3559	9.90E-01	9.90E-01
0.3624	9.90E-01	9.90E-01
0.3688	9.90E-01	9.90E-01
0.3753	9.90E-01	9.90E-01
0.3818	9.90E-01	9.90E-01
0.3882	9.90E-01	9.90E-01
0.3947	9.90E-01	9.90E-01
0.4012	9.90E-01	9.90E-01
0.4076	9.90E-01	9.90E-01
0.4141	9.90E-01	9.90E-01
0.4206	9.90E-01	9.90E-01
0.4271	9.90E-01	9.90E-01
0.4335	9.90E-01	9.90E-01
0.4400	9.90E-01	9.90E-01
0.4465	9.90E-01	9.90E-01
0.4529	9.90E-01	9.90E-01
0.4594	9.90E-01	9.90E-01
0.4659	9.90E-01	9.90E-01
0.4724	9.90E-01	9.90E-01
0.4788	9.90E-01	9.90E-01
0.4853	9.90E-01	9.90E-01
0.4918	9.90E-01	9.90E-01
0.4982	9.90E-01	9.90E-01
0.5047	9.90E-01	9.90E-01
0.5112	9.90E-01	9.90E-01
0.5176	9.90E-01	9.90E-01
0.5241	9.90E-01	9.90E-01
0.5306	9.90E-01	9.90E-01
0.5371	9.90E-01	9.90E-01
0.5435	9.90E-01	9.90E-01
0.5500	9.90E-01	9.90E-01
0.5565	9.90E-01	9.90E-01
0.5629	9.90E-01	9.90E-01
0.5694	9.90E-01	9.90E-01
0.5759	9.90E-01	9.90E-01
0.5824	9.90E-01	9.90E-01
0.5888	9.90E-01	9.90E-01
0.5953	9.90E-01	9.90E-01
0.6018	9.90E-01	9.90E-01
0.6082	9.90E-01	9.90E-01
0.6147	9.90E-01	9.90E-01
0.6212	9.90E-01	9.90E-01
0.6276	9.90E-01	9.90E-01
0.6341	9.90E-01	9.90E-01
0.6406	9.90E-01	9.90E-01
0.6471	9.90E-01	9.90E-01
0.6535	9.90E-01	9.90E-01
0.6600	9.90E-01	9.90E-01
0.6665	9.90E-01	9.90E-01
0.6729	9.90E-01	9.90E-01
0.6794	9.90E-01	9.90E-01
0.6859	9.90E-01	9.90E-01
0.6924	9.90E-01	9.90E-01
0.6988	9.90E-01	9.90E-01
0.7053	9.90E-01	9.90E-01
0.7118	9.90E-01	9.90E-01
