m	up	down
MC=6		
NITI=1		
COH=1		
0.0000	9.90E-01	9.90E-01
0.0259	9.90E-01	9.90E-01
0.0518	9.90E-01	9.90E-01
0.0776	9.90E-01	9.90E-01
0.1035	9.90E-01	9.90E-01
0.1294	9.90E-01	9.90E-01
0.1553	9.90E-01	9.90E-01
0.1812	9.90E-01	9.90E-01
0.2071	9.90E-01	9.90E-01
0.2329	9.90E-01	9.90E-01
0.2588	9.90E-01	9.90E-01
0.2847	9.90E-01	9.90E-01
0.3106	9.90E-01	9.90E-01
0.3365	9.90E-01	9.90E-01
0.3624	9.90E-01	9.90E-01
0.3882	9.90E-01	9.90E-01
0.4141	9.90E-01	9.90E-01
0.4400	9.90E-01	9.90E-01
0.4659	9.90E-01	9.90E-01
0.4918	9.90E-01	9.90E-01
0.5176	9.90E-01	9.90E-01
0.5435	9.90E-01	9.90E-01
0.5694	9.90E-01	9.90E-01
0.5953	9.90E-01	9.90E-01
0.6212	9.90E-01	9.90E-01
0.6471	9.90E-01	9.90E-01
0.6729	9.90E-01	9.90E-01
0.6988	9.90E-01	9.90E-01
0.7247	9.90E-01	9.90E-01
0.7506	9.90E-01	9.90E-01
0.7765	9.90E-01	9.90E-01
0.8024	9.90E-01	9.90E-01
0.8282	9.90E-01	9.90E-01
0.8541	9.90E-01	9.90E-01
0.8800	9.90E-01	9.90E-01
0.9059	9.90E-01	9.90E-01
0.9318	9.90E-01	9.90E-01
0.9576	9.90E-01	9.90E-01
0.9835	9.90E-01	9.90E-01
1.0094	9.89E-01	9.89E-01
1.0353	9.87E-01	9.87E-01
1.0612	9.85E-01	9.85E-01
1.0871	9.84E-01	9.84E-01
1.1129	9.82E-01	9.82E-01
1.1388	9.80E-01	9.80E-01
1.1647	9.78E-01	9.78E-01
1.1906	9.76E-01	9.76E-01
1.2165	9.74E-01	9.74E-01
1.2424	9.72E-01	9.72E-01
1.2682	9.70E-01	9.70E-01
1.2941	9.68E-01	9.68E-01
1.3200	9.66E-01	9.66E-01
1.3459	9.64E-01	9.64E-01
1.3718	9.63E-01	9.63E-01
1.3976	9.61E-01	9.61E-01
1.4235	9.59E-01	9.59E-01
1.4494	9.57E-01	9.57E-01
1.4753	9.55E-01	9.55E-01
1.5012	9.53E-01	9.53E-01
1.5271	9.51E-01	9.51E-01
1.5529	9.49E-01	9.49E-01
1.5788	9.47E-01	9.47E-01
1.6047	9.45E-01	9.45E-01
1.6306	9.43E-01	9.43E-01
1.6565	9.42E-01	9.42E-01
1.6824	9.40E-01	9.40E-01
1.7082	9.38E-01	9.38E-01
1.7341	9.36E-01	9.36E-01
1.7600	9.34E-01	9.34E-01
1.7859	9.32E-01	9.32E-01
1.8118	9.30E-01	9.30E-01
1.8376	9.28E-01	9.28E-01
1.8635	9.26E-01	9.26E-01
1.8894	9.24E-01	9.24E-01
1.9153	9.23E-01	9.23E-01
1.9412	9.21E-01	9.21E-01
1.9671	9.19E-01	9.19E-01
1.9929	9.17E-01	9.17E-01
2.0188	9.15E-01	9.15E-01
2.0447	9.13E-01	9.13E-01
2.0706	9.11E-01	9.11E-01
2.0965	9.09E-01	9.09E-01
2.1224	9.07E-01	9.07E-01
2.1482	9.05E-01	9.05E-01
2.1741	9.03E-01	9.03E-01
2.2000	9.02E-01	9.02E-01
2.2259	9.00E-01	9.00E-01
2.2518	8.98E-01	8.98E-01
2.2776	8.96E-01	8.96E-01
2.3035	8.94E-01	8.94E-01
2.3294	8.92E-01	8.92E-01
2.3553	8.90E-01	8.90E-01
2.3812	8.88E-01	8.88E-01
2.4071	8.86E-01	8.86E-01
2.4329	8.84E-01	8.84E-01
2.4588	8.83E-01	8.83E-01
2.4847	8.81E-01	8.81E-01
2.5106	8.79E-01	8.79E-01
2.5365	8.77E-01	8.77E-01
2.5624	8.75E-01	8.75E-01
2.5882	8.73E-01	8.73E-01
2.6141	8.71E-01	8.71E-01
2.6400	8.69E-01	8.69E-01
2.6659	8.67E-01	8.67E-01
2.6918	8.65E-01	8.65E-01
2.7176	8.64E-01	8.64E-01
2.7435	8.62E-01	8.62E-01
2.7694	8.60E-01	8.60E-01
2.7953	8.58E-01	8.58E-01
2.8212	8.56E-01	8.56E-01
2.8471	8.54E-01	8.54E-01
2.8729	8.52E-01	8.52E-01
2.8988	8.50E-01	8.50E-01
2.9247	8.48E-01	8.48E-01
2.9506	8.46E-01	8.46E-01
2.9765	8.45E-01	8.45E-01
3.0024	8.43E-01	8.43E-01
3.0282	8.41E-01	8.41E-01
3.0541	8.39E-01	8.39E-01
3.0800	8.37E-01	8.37E-01
3.1059	8.35E-01	8.35E-01
3.1318	8.33E-01	8.33E-01
3.1576	8.31E-01	8.31E-01
3.1835	8.29E-01	8.29E-01
3.2094	8.28E-01	8.28E-01
3.2353	8.26E-01	8.26E-01
3.2612	8.24E-01	8.24E-01
3.2871	8.22E-01	8.22E-01
3.3129	8.20E-01	8.20E-01
3.3388	8.18E-01	8.18E-01
3.3647	8.16E-01	8.16E-01
3.3906	8.14E-01	8.14E-01
3.4165	8.12E-01	8.12E-01
3.4424	8.10E-01	8.10E-01
3.4682	8.09E-01	8.09E-01
3.4941	8.07E-01	8.07E-01
3.5200	8.05E-01	8.05E-01
3.5459	8.03E-01	8.03E-01
3.5718	8.01E-01	8.01E-01
3.5976	7.99E-01	7.99E-01
3.6235	7.97E-01	7.97E-01
3.6494	7.95E-01	7.95E-01
3.6753	7.93E-01	7.93E-01
3.7012	7.92E-01	7.92E-01
3.7271	7.90E-01	7.90E-01
3.7529	7.88E-01	7.88E-01
3.7788	7.86E-01	7.86E-01
3.8047	7.84E-01	7.84E-01
3.8306	7.82E-01	7.82E-01
3.8565	7.80E-01	7.80E-01
3.8824	7.78E-01	7.78E-01
3.9082	7.76E-01	7.76E-01
3.9341	7.75E-01	7.75E-01
3.9600	7.73E-01	7.73E-01
3.9859	7.71E-01	7.71E-01
4.0118	7.69E-01	7.69E-01
4.0376	7.67E-01	7.67E-01
4.0635	7.65E-01	7.65E-01
4.0894	7.63E-01	7.63E-01
4.1153	7.61E-01	7.61E-01
4.1412	7.59E-01	7.59E-01
4.1671	7.58E-01	7.58E-01
4.1929	7.56E-01	7.56E-01
4.2188	7.54E-01	7.54E-01
4.2447	7.52E-01	7.52E-01
4.2706	7.50E-01	7.50E-01
4.2965	7.48E-01	7.48E-01
4.3224	7.46E-01	7.46E-01
4.3482	7.44E-01	7.44E-01
4.3741	7.42E-01	7.42E-01
4.4000	7.41E-01	7.41E-01
4.4259	7.39E-01	7.39E-01
4.4518	7.37E-01	7.37E-01
4.4776	7.35E-01	7.35E-01
4.5035	7.33E-01	7.33E-01
4.5294	7.31E-01	7.31E-01
4.5553	7.29E-01	7.29E-01
4.5812	7.27E-01	7.27E-01
4.6071	7.26E-01	7.26E-01
4.6329	7.24E-01	7.24E-01
4.6588	7.22E-01	7.22E-01
4.6847	7.20E-01	7.20E-01
4.7106	7.18E-01	7.18E-01
4.7365	7.16E-01	7.16E-01
4.7624	7.14E-01	7.14E-01
4.7882	7.12E-01	7.12E-01
4.8141	7.10E-01	7.10E-01
4.8400	7.09E-01	7.09E-01
4.8659	7.07E-01	7.07E-01
4.8918	7.05E-01	7.05E-01
4.9176	7.03E-01	7.03E-01
4.9435	7.01E-01	7.01E-01
4.9694	6.99E-01	6.99E-01
4.9953	6.97E-01	6.97E-01
5.0212	6.95E-01	6.95E-01
5.0471	6.94E-01	6.94E-01
5.0729	6.92E-01	6.92E-01
5.0988	6.90E-01	6.90E-01
5.1247	6.88E-01	6.88E-01
5.1506	6.86E-01	6.86E-01
5.1765	6.84E-01	6.84E-01
5.2024	6.82E-01	6.82E-01
5.2282	6.80E-01	6.80E-01
5.2541	6.78E-01	6.78E-01
5.2800	6.77E-01	6.77E-01
5.3059	6.75E-01	6.75E-01
5.3318	6.73E-01	6.73E-01
5.3576	6.71E-01	6.71E-01
5.3835	6.69E-01	6.69E-01
5.4094	6.67E-01	6.67E-01
5.4353	6.65E-01	6.65E-01
5.4612	6.63E-01	6.63E-01
5.4871	6.62E-01	6.62E-01
5.5129	6.60E-01	6.60E-01
5.5388	6.58E-01	6.58E-01
5.5647	6.56E-01	6.56E-01
5.5906	6.54E-01	6.54E-01
5.6165	6.52E-01	6.52E-01
5.6424	6.50E-01	6.50E-01
5.6682	6.48E-01	6.48E-01
5.6941	6.47E-01	6.47E-01
5.7200	6.45E-01	6.45E-01
5.7459	6.43E-01	6.43E-01
5.7718	6.41E-01	6.41E-01
5.7976	6.39E-01	6.39E-01
5.8235	6.37E-01	6.37E-01
5.8494	6.35E-01	6.35E-01
5.8753	6.33E-01	6.33E-01
5.9012	6.31E-01	6.31E-01
5.9271	6.28E-01	6.28E-01
5.9529	6.14E-01	6.14E-01
5.9788	5.29E-01	5.29E-01
6.0047	2.54E-01	2.54E-01
6.0306	4.96E-02	4.96E-02
6.0565	6.70E-03	6.70E-03
6.0824	0.00E+00	0.00E+00
6.1082	0.00E+00	0.00E+00
6.1341	0.00E+00	0.00E+00
6.1600	0.00E+00	0.00E+00
6.1859	0.00E+00	0.00E+00
6.2118	0.00E+00	0.00E+00
6.2376	0.00E+00	0.00E+00
6.2635	0.00E+00	0.00E+00
6.2894	0.00E+00	0.00E+00
6.3153	0.00E+00	0.00E+00
6.3412	0.00E+00	0.00E+00
6.3671	0.00E+00	0.00E+00
6.3929	0.00E+00	0.00E+00
6.4188	0.00E+00	0.00E+00
6.4447	0.00E+00	0.00E+00
6.4706	0.00E+00	0.00E+00
6.4965	0.00E+00	0.00E+00
6.5224	0.00E+00	0.00E+00
6.5482	0.00E+00	0.00E+00
6.5741	0.00E+00	0.00E+00
6.6000	0.00E+00	0.00E+00
