m	up	down
MC=2		
NITI=1		
COH=0		
0.0000	9.90E-01	9.90E-01
0.0086	9.90E-01	9.90E-01
0.0173	9.90E-01	9.90E-01
0.0259	9.90E-01	9.90E-01
0.0345	9.90E-01	9.90E-01
0.0431	9.90E-01	9.90E-01
0.0518	9.90E-01	9.90E-01
0.0604	9.90E-01	9.90E-01
0.0690	9.90E-01	9.90E-01
0.0776	9.90E-01	9.90E-01
0.0863	9.90E-01	9.90E-01
0.0949	9.90E-01	9.90E-01
0.1035	9.90E-01	9.90E-01
0.1122	9.90E-01	9.90E-01
0.1208	9.90E-01	9.90E-01
0.1294	9.90E-01	9.90E-01
0.1380	9.90E-01	9.90E-01
0.1467	9.90E-01	9.90E-01
0.1553	9.90E-01	9.90E-01
0.1639	9.90E-01	9.90E-01
0.1725	9.90E-01	9.90E-01
0.1812	9.90E-01	9.90E-01
0.1898	9.90E-01	9.90E-01
0.1984	9.90E-01	9.90E-01
0.2071	9.90E-01	9.90E-01
0.2157	9.90E-01	9.90E-01
0.2243	9.90E-01	9.90E-01
0.2329	9.90E-01	9.90E-01
0.2416	9.90E-01	9.90E-01
0.2502	9.90E-01	9.90E-01
0.2588	9.90E-01	9.90E-01
0.2675	9.90E-01	9.90E-01
0.2761	9.90E-01	9.90E-01
0.2847	9.90E-01	9.90E-01
0.2933	9.90E-01	9.90E-01
0.3020	9.90E-01	9.90E-01
0.3106	9.90E-01	9.90E-01
0.3192	9.90E-01	9.90E-01
0.3278	9.90E-01	9.90E-01
0.3365	9.90E-01	9.90E-01
0.3451	9.90E-01	9.90E-01
0.3537	9.90E-01	9.90E-01
0.3624	9.90E-01	9.90E-01
0.3710	9.90E-01	9.90E-01
0.3796	9.90E-01	9.90E-01
0.3882	9.90E-01	9.90E-01
0.3969	9.90E-01	9.90E-01
0.4055	9.90E-01	9.90E-01
0.4141	9.90E-01	9.90E-01
0.4227	9.90E-01	9.90E-01
0.4314	9.90E-01	9.90E-01
0.4400	9.90E-01	9.90E-01
0.4486	9.90E-01	9.90E-01
0.4573	9.90E-01	9.90E-01
0.4659	9.90E-01	9.90E-01
0.4745	9.90E-01	9.90E-01
0.4831	9.90E-01	9.90E-01
0.4918	9.90E-01	9.90E-01
0.5004	9.90E-01	9.90E-01
0.5090	9.90E-01	9.90E-01
0.5176	9.90E-01	9.90E-01
0.5263	9.90E-01	9.90E-01
0.5349	9.90E-01	9.90E-01
0.5435	9.90E-01	9.90E-01
0.5522	9.90E-01	9.90E-01
0.5608	9.90E-01	9.90E-01
0.5694	9.90E-01	9.90E-01
0.5780	9.90E-01	9.90E-01
0.5867	9.90E-01	9.90E-01
0.5953	9.90E-01	9.90E-01
0.6039	9.90E-01	9.90E-01
0.6125	9.90E-01	9.90E-01
0.6212	9.90E-01	9.90E-01
0.6298	9.90E-01	9.90E-01
0.6384	9.90E-01	9.90E-01
0.6471	9.90E-01	9.90E-01
0.6557	9.90E-01	9.90E-01
0.6643	9.90E-01	9.90E-01
0.6729	9.90E-01	9.90E-01
0.6816	9.90E-01	9.90E-01
0.6902	9.90E-01	9.90E-01
0.6988	9.90E-01	9.90E-01
0.7075	9.90E-01	9.90E-01
0.7161	9.90E-01	9.90E-01
0.7247	9.90E-01	9.90E-01
0.7333	9.90E-01	9.90E-01
0.7420	9.90E-01	9.90E-01
0.7506	9.90E-01	9.90E-01
0.7592	9.90E-01	9.90E-01
0.7678	9.90E-01	9.90E-01
0.7765	9.90E-01	9.90E-01
0.7851	9.90E-01	9.90E-01
0.7937	9.90E-01	9.90E-01
0.8024	9.90E-01	9.90E-01
0.8110	9.90E-01	9.90E-01
0.8196	9.90E-01	9.90E-01
0.8282	9.90E-01	9.90E-01
0.8369	9.90E-01	9.90E-01
0.8455	9.90E-01	9.90E-01
0.8541	9.90E-01	9.90E-01
0.8627	9.90E-01	9.90E-01
0.8714	9.90E-01	9.90E-01
0.8800	9.90E-01	9.90E-01
0.8886	9.90E-01	9.90E-01
0.8973	9.90E-01	9.90E-01
0.9059	9.90E-01	9.90E-01
0.9145	9.90E-01	9.90E-01
0.9231	9.90E-01	9.90E-01
0.9318	9.90E-01	9.90E-01
0.9404	9.90E-01	9.90E-01
0.9490	9.90E-01	9.90E-01
0.9576	9.90E-01	9.90E-01
0.9663	9.90E-01	9.90E-01
0.9749	9.90E-01	9.90E-01
0.9835	9.90E-01	9.90E-01
0.9922	9.90E-01	9.90E-01
1.0008	9.90E-01	9.90E-01
1.0094	9.89E-01	9.89E-01
1.0180	9.89E-01	9.89E-01
1.0267	9.88E-01	9.88E-01
1.0353	9.88E-01	9.88E-01
1.0439	9.87E-01	9.87E-01
1.0525	9.87E-01	9.87E-01
1.0612	9.87E-01	9.87E-01
1.0698	9.86E-01	9.86E-01
1.0784	9.86E-01	9.86E-01
1.0871	9.85E-01	9.85E-01
1.0957	9.85E-01	9.85E-01
1.1043	9.84E-01	9.84E-01
1.1129	9.84E-01	9.84E-01
1.1216	9.83E-01	9.83E-01
1.1302	9.83E-01	9.83E-01
1.1388	9.82E-01	9.82E-01
1.1475	9.82E-01	9.82E-01
1.1561	9.81E-01	9.81E-01
1.1647	9.81E-01	9.81E-01
1.1733	9.80E-01	9.80E-01
1.1820	9.80E-01	9.80E-01
1.1906	9.79E-01	9.79E-01
1.1992	9.79E-01	9.79E-01
1.2078	9.78E-01	9.78E-01
1.2165	9.78E-01	9.78E-01
1.2251	9.77E-01	9.77E-01
1.2337	9.77E-01	9.77E-01
1.2424	9.76E-01	9.76E-01
1.2510	9.76E-01	9.76E-01
